,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1369,6309,"CAMPBELL'S,CHICK W/ RICE SOUP,COND",68,1.84,11.28,0.9,0.23,41.0,645.0,1.21
1318,6193,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",68,4.0,11.4,1.9,1.57,16.0,196.0,0.576
1234,6040,"SOUP,MINESTRONE,CND,COND",68,3.48,9.17,0.8,1.5,28.0,516.0,1.0
1222,6023,"SOUP,CHICK W/ RICE,CND,COND",68,1.84,11.57,0.9,0.23,41.0,645.0,1.1099999999999999
1211,6009,"SOUP,BF NOODLE,CND,COND",67,3.85,7.16,0.6,2.06,12.0,653.0,1.9
1257,6070,"SOUP,CHUNKY BF,CND,RTS",66,3.97,10.08,0.6,0.67,13.0,338.0,1.0190000000000001
1296,6159,"SOUP,TOMATO,CND,COND",66,1.46,15.22,1.1,8.23,13.0,377.0,0.251
1324,6210,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK",66,2.29,5.86,0.3,,75.0,272.0,2.58
1427,6391,"CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP",66,2.32,7.09,1.5,1.09,16.0,339.0,1.2400000000000002
1510,6546,CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP,65,1.22,6.94,1.2,1.22,16.0,265.0,
1418,6375,"CAMPBELL'S,VEG BF SOUP,COND",65,3.79,11.8,2.1,1.7,13.0,656.0,0.19
1406,6355,"CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND",65,1.61,8.06,0.8,0.81,0.0,524.0,1.209
1321,6201,"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK",65,2.55,6.61,0.3,,70.0,420.0,2.18
1322,6208,"SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS",65,1.16,5.2,0.3,0.64,15.0,416.0,3.2409999999999997
1394,6337,"CAMPBELL'S,CRM OF CHICK W/ HERBS SOUP,COND",65,1.61,7.26,0.0,0.81,0.0,645.0,2.42
1579,6956,"SOUP,TOMATO,CND,COND,RED NA",65,1.61,13.41,1.2,8.11,13.0,22.0,0.33399999999999996
1331,6217,"SOUP,VEG,CND,LO NA,COND",65,2.2,12.11,2.1,4.31,20.0,385.0,0.35
1355,6243,"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",65,2.36,5.76,0.3,2.82,68.0,357.0,1.993
1499,6503,"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",64,1.22,10.2,1.2,6.53,16.0,306.0,
1407,6357,"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK",63,2.38,9.52,0.8,0.79,,381.0,1.191
1258,6071,"SOUP,VEG BF,CND,COND",63,4.45,8.11,1.6,0.89,13.0,706.0,1.32
1438,6404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63,2.88,8.31,2.9,1.47,31.0,349.0,1.351
1444,6411,"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",63,2.19,4.26,0.4,,57.0,388.0,3.9000000000000004
1265,6084,"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND",63,2.38,11.9,1.6,2.38,16.0,706.0,0.397
1610,6990,"HEALTHY REQUEST,MINESTRONE SOUP,COND",63,2.38,11.9,2.4,3.17,32.0,325.0,0.0
