,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
7809,28001,"KELLOGG'S,EGGO,NUTRI-GRAIN FRZ FRUIT PIZZA,MXD BERRY GRANOLA",259,6.4,41.4,3.0,11.5,47.0,262.0,5.4
7008,21603,"SCHOOL LUNCH,PIZZA,PEPP TOPPING,THICK CRUST,WHL GRN,FRZ,CKD",259,14.35,28.3,4.3,4.03,155.0,474.0,7.109
7010,21605,"SCHOOL LUNCH,PIZZA,SAUSAGE TOP,THICK CRUST,WHL GRN,FRZ,CKD",257,13.26,30.58,4.0,3.72,168.0,433.0,7.109
6802,21277,"DOMINO'S 14"" CHS PIZZA,CLASSIC HAND-TOSSED CRUST",257,10.8,33.24,2.2,4.02,167.0,523.0,6.275
6955,21474,"DIGIORNO PIZZA,CHS TOPPING,RISING CRUST,FRZ,BKD",256,12.8,31.78,2.4,5.0,192.0,696.0,5.368
6960,21479,"DIGIORNO PIZZA,SUPREME TOPPING,RISING CRUST,FRZ,BKD",255,11.74,27.93,2.3,4.71,139.0,712.0,7.337
6961,21480,"DIGIORNO PIZZA,SUPREME TOPPING,THIN CRISPY CRUST,FRZ,BKD",255,11.41,28.05,2.8,,161.0,555.0,8.334
7007,21602,"SCHOOL LUNCH,PIZZA,PEPPI TOPPING,THIN CRUST,WHL GRN,FRZ,CKD",254,12.78,31.24,4.3,7.62,202.0,495.0,4.93
7006,21601,"SCHOOL LUNCH,PIZZA,CHS TOPPING,THICK CRUST,WHL GRAIN,FRZ,CKD",254,14.62,28.08,2.9,5.02,193.0,421.0,6.769
7009,21604,"SCHOOL LUNCH,PIZZA,SSAGE TOPPING,THIN CRST,WHL GRAIN,FRZ,CKD",250,12.63,32.24,3.9,7.53,238.0,457.0,5.732
6728,21146,"SCHOOL LUNCH,PIZZA,BIG DADDY'S 51% WHL TRKY PEP PIZZA,FRZ",248,13.63,27.35,4.1,3.83,147.0,450.0,6.74
6823,21298,"PIZZA HUT 14"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",248,11.34,26.01,2.3,3.04,104.0,658.0,8.022
7005,21600,"SCHOOL LUNCH,PIZZA,CHS TOPPING,THIN CRUST,WHL GRAIN,FRZ,CKD",247,12.72,31.31,4.0,7.12,218.0,421.0,5.837
6956,21475,"DIGIORNO PIZZA,CHS TOPPING,THIN CRISPY CRUST,FRZ,BKD",247,12.96,26.47,3.0,,275.0,506.0,7.337
6807,21282,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZA,CLSSIC HAND-TOSSED CRST",244,10.33,25.72,2.0,3.3,113.0,456.0,8.013
6829,21304,"FAST FD,PIZZA CHAIN,14"" PIZZA,MEAT & VEG TOPPING,REG CRUST",244,11.02,25.38,2.2,3.73,120.0,589.0,8.193999999999999
6727,21145,"SCHOOL LUNCH,PIZZA,BIG DADDY'S LS 16"" 51% WHL CHS PIZZA,FRZ",243,13.89,27.1,2.7,4.77,183.0,400.0,6.43
6814,21289,"LITTLE CAESARS 14"" ORIGINAL RND MEAT & VEG PIZZA,REG CRUST",243,12.12,23.1,2.1,3.74,167.0,578.0,8.623999999999999
6801,21276,"PIZZA HUT 12"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",243,10.9,25.62,2.0,3.71,129.0,689.0,8.507
6731,21149,"SCHOOL LUNCH,PIZZA,TONY'S BRKFST PIZZA SAUSAGE,FRZ",240,10.39,26.99,2.0,5.87,176.0,600.0,5.94
6810,21285,"PAPA JOHN'S 14"" THE WORKS PIZZA,ORIGINAL CRUST",240,10.27,26.69,2.5,4.84,99.0,570.0,7.417
