,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1240,6046,"SOUP,CRM OF ONION,CND,COND",88,2.2,10.4,0.4,3.64,27.0,637.0,2.84
1518,6584,"SOUP,BROCCOLI CHS,CND,COND,COMM",87,2.1,7.7,1.8,2.12,41.0,661.0,3.6
1403,6351,"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",87,0.79,18.25,0.8,7.94,0.0,611.0,0.397
1428,6392,"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",86,2.86,8.16,1.2,2.45,8.0,359.0,
1232,6038,"CAMPBELL'S,CHEDDAR CHS SOUP,COND",84,0.8,11.44,2.2,3.73,36.0,692.0,1.81
1423,6384,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82,3.27,8.57,1.2,1.22,8.0,343.0,
1213,6011,"SOUP,CHS,CND,COND",82,0.8,11.3,2.2,3.73,36.0,692.0,3.532
1429,6393,"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82,2.86,8.16,0.8,1.22,8.0,351.0,
1316,6190,"SOUP,BEAN&HAM,CND,RED NA,PREP W/H2O OR RTS",81,4.19,13.66,4.0,3.17,38.0,187.0,0.667
1399,6342,"CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",81,2.42,6.45,0.0,0.0,0.0,694.0,2.419
1475,6454,"CAMPBELL'S CHUNKY SOUPS,GRILLED STEAK- STEAK CHILI W/ BNS",81,6.53,11.02,2.9,3.67,16.0,355.0,
1215,6014,"CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",81,1.61,9.68,0.0,2.42,32.0,661.0,3.629
1395,6338,"CAMPBELL'S,CRM OF MUSHROOM SOUP,COND",81,1.29,6.59,0.6,0.4,8.0,697.0,2.235
1397,6340,"CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",81,0.81,8.06,2.4,3.23,0.0,645.0,2.42
1561,6726,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,3.0,7.1,1.4,,,339.0,1.9869999999999999
1562,6728,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80,2.7,5.6,0.6,,,364.0,4.08
1237,6043,"SOUP,CRM OF MUSHROOM,CND,COND",79,1.35,6.8,0.7,0.4,12.0,691.0,2.183
7781,27042,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,RTS",79,2.61,8.28,1.0,0.23,15.0,343.0,
1612,6992,"HEALTHY REQUEST,VEG SOUP,COND",79,3.17,15.87,2.4,3.97,16.0,325.0,0.0
1417,6374,"CAMPBELL'S RED & WHITE,VEG SOUP,COND",79,3.17,16.67,2.4,5.56,16.0,516.0,0.397
